OLT_ALIAS,value
P_OLT_C600_CHORRILLOS_1,4919
P_OLT_C600_CHORRILLOS_2,398
P_OLT_C600_EL_RETABLO_1,1219
P_OLT_C600_HIGUERETA_1,1540
P_OLT_C600_HIGUERETA_2,322
P_OLT_C600_LA_VICTORIA_1,4862
P_OLT_C600_LA_VICTORIA_2,159
P_OLT_C600_PRIMERO_DE_MAYO_1,3477
P_OLT_C600_SANTA_PATRICIA_1,4458
P_OLT_C600_SANTA_PATRICIA_2,108
P_OLT_C600_SAN_BORJA_1,2862
P_OLT_C600_SAN_ISIDRO_1,1210
P_OLT_C600_SAN_ISIDRO_2,1
P_OLT_C600_SAN_JOSE_1,4495
P_OLT_C600_SAN_JOSE_2,2899
P_OLT_C600_SAN_JOSE_3,1
P_OLT_C600_SAN_JUAN_1,5986
P_OLT_C600_SAN_JUAN_2,2853
P_OLT_C600_SAN_JUAN_3,71
P_OLT_C600_SAN_MIGUEL_1,4228
P_OLT_C600_SAN_MIGUEL_2,1224
P_OLT_C600_SAN_MIGUEL_3,120
P_OLT_C600_VILLA_EL_SALVADOR_1,2002
P_OLT_C600_VITARTE_1,5030
P_OLT_C600_WASHINGTON_1,764
P_OLT_C600_ZARATE_1,2279
